ticker,price,date
TILE,14.04,2022-03-06
MMC,156.49,2022-03-06
GNW,3.91,2022-03-06
CAKE,36.61,2022-03-06
CAR,174.67,2022-03-06
TMHC,32.33,2022-03-06
URI,316.51,2022-03-06
SPLK,129.06,2022-03-06
VRSN,217.87,2022-03-06
MCO,325.84,2022-03-06
SLG,78.98,2022-03-06
BZUN,9.28,2022-03-06
PAGS,13.41,2022-03-06
L,60.88,2022-03-06
NWSA,21.22,2022-03-06
MBI,14.1,2022-03-06
ARNA,93.92,2022-03-06
VNO,43.86,2022-03-06
PDS,58.51,2022-03-06
BCC,77.84,2022-03-06
ULTA,366.76,2022-03-06
PRTY,3.57,2022-03-06
JACK,80.26,2022-03-06
OGE,39.81,2022-03-06
QGEN,46.2,2022-03-06
CPRT,118.41,2022-03-06
EAT,36.83,2022-03-06
DXC,30.0,2022-03-06
UEC,3.86,2022-03-06
CLVS,1.52,2022-03-06
UDR,58.05,2022-03-06
KBR,55.22,2022-03-06
STM,37.63,2022-03-06
AQUA,42.67,2022-03-06
SBRA,13.44,2022-03-06
EQT,26.36,2022-03-06
FISV,97.32,2022-03-06
SPIB,34.93,2022-03-06
SRE,151.92,2022-03-06
DIA,336.47,2022-03-06
SAVE,22.32,2022-03-06
DXLG,4.14,2022-03-06
HTA,31.7,2022-03-06
NPTN,15.13,2022-03-06
SQM,78.15,2022-03-06
SXT,79.38,2022-03-06
OMC,79.73,2022-03-06
LXP,15.88,2022-03-06
ONB,17.46,2022-03-06
FMC,121.28,2022-03-06
KN,21.33,2022-03-06
KW,21.99,2022-03-06
SCS,11.89,2022-03-06
CXW,8.73,2022-03-06
DFS,110.22,2022-03-06
VTV,144.93,2022-03-06
PH,283.85,2022-03-06
USA,7.24,2022-03-06
CIEN,65.94,2022-03-06
OIS,5.88,2022-03-06
SCCO,76.6,2022-03-06
VT,96.99,2022-03-06
YEXT,6.52,2022-03-06
ATSG,31.19,2022-03-06
REVG,13.63,2022-03-06
ALLE,117.29,2022-03-06
MHK,137.35,2022-03-06
SPWH,11.39,2022-03-06
TWNK,22.22,2022-03-06
EQIX,720.92,2022-03-06
VNTR,2.03,2022-03-06
SUM,29.12,2022-03-06
RDFN,19.57,2022-03-06
ERJ,13.01,2022-03-06
UNM,27.52,2022-03-06
NJR,45.25,2022-03-06
NNN,43.39,2022-03-06
PAGP,11.57,2022-03-06
TNA,57.85,2022-03-06
LIVN,76.56,2022-03-06
CTAS,378.95,2022-03-06
REGI,61.04,2022-03-06
VRNT,48.95,2022-03-06
HAS,92.45,2022-03-06
AOS,68.39,2022-03-06
DGX,137.65,2022-03-06
CUZ,39.56,2022-03-06
